 Pincode,State Code,Dispatch Center,Prepaid,Reverse Pickup,REPL,COD,Cash,fm_serviceble
263642,,Bageshwar_Nadigaon_DPP (Uttarakhand),Y,Y,N,Y,N,False
263645,,Ranikhet_KhariBazar_DPP (Uttarakhand),Y,Y,Y,Y,Y,False
263651,,Ranikhet_KhariBazar_DPP (Uttarakhand),Y,Y,Y,Y,Y,False
263652,,Ranikhet_KhariBazar_DPP (Uttarakhand),Y,Y,Y,Y,Y,False
263663,,Ranikhet_KhariBazar_DPP (Uttarakhand),Y,Y,Y,Y,Y,False
271201,,Balrampur_BbuComplex_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
271206,,Pachperwa_PoliceStn_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
271208,,Tulsipur_PuraniBzr_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
271210,,Tulsipur_PuraniBzr_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
271312,,Gaurachauki_BhabananRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
271803,,Bhinga_ViksBhwn_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
271804,,Bhinga_ViksBhwn_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
271831,,Bhinga_ViksBhwn_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
271840,,Bhinga_ViksBhwn_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
272128,,Harraiya_Maharajganj_DPP (Uttar Pradesh),Y,Y,Y,Y,Y,False
272131,,Harraiya_Maharajganj_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
272152,,Bansi_RaptiNagar_D (Uttar Pradesh),Y,Y,N,Y,N,True
272153,,Bansi_RaptiNagar_D (Uttar Pradesh),Y,Y,N,Y,N,True
272161,,Itava_Prsnga_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
272173,,Gorakhpur_Tenua_L (Uttar Pradesh),Y,Y,Y,Y,Y,True
272189,,Domariyaganj_Shahpur_D (Uttar Pradesh),Y,Y,N,Y,N,True
272192,,Domariyaganj_Shahpur_D (Uttar Pradesh),Y,Y,N,Y,N,True
272195,,Gaurachauki_BhabananRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
272201,,Shohratgarh_Chthri_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
272205,,Shohratgarh_Chthri_D (Uttar Pradesh),Y,Y,Y,Y,Y,True
273155,,Anandnagar_DhniDhla_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
273158,,Anandnagar_DhniDhla_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
273161,,Anandnagar_DhniDhla_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
273165,,Gorakhpur_Tenua_L (Uttar Pradesh),Y,Y,Y,Y,Y,True
273201,,GauriBazar_AshrafNgr_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
273402,,Barhalganj_GolBzarRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
273408,,Barhalganj_GolBzarRd_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
273412,,Barhalganj_Lakhnapar_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
274182,,Barhaj_Bank_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
274202,,GauriBazar_AshrafNgr_DPP (Uttar Pradesh),Y,Y,N,Y,N,True
274205,,Barhaj_Bank_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
274208,,Barhalganj_Lakhnapar_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
274601,,Barhaj_Bank_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
274801,,Khadda_Siswa_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
274802,,Khadda_Siswa_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
275204,,Sadat_Town_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
275205,,Sadat_Town_DPP (Uttar Pradesh),Y,Y,N,Y,N,False
275303,,Barhalganj_GolBzarRd_DPP (Uttar Pradesh),Y,Y,Y,Y,Y,False
276121,,Azamgarh_Semraha_I (Uttar Pradesh),Y,Y,Y,Y,Y,True
